No.,Cod.,"Centro de Costo","Punto BI",Agencia,Ubicación,Dirección,"Tiempo de respuesta","Base de Patrullaje","Patrullaje Para Abastecimiento","TIEMPO DE RESPUESTA (MN)","SECTOR OPERATIVO",VALORES
1,A000,08.2.006,AGENCIA,"AGENCIA CENTRAL (A0)",LOCAL,"7ma. Ave. 5-10 zona 4, 1er. Nivel, Torre I",0:10:00,"Base zona 13",N/A,"Sin cobertura",,EBANO
2,A001,08.2.002,AGENCIA,"AGENCIA PARROQUIA (A001)",LOCAL,"15 av. 5-00 zona 6",0:10:00,"Base Parroquia",N/A,"Sin cobertura",,EBANO
3,A002,08.2.003,AGENCIA,"AGENCIA DEL CENTRO (A002)",LOCAL,"4a Av. 9-82  zona 1",0:12:00,"Base Zona 1",N/A,"Sin cobertura",,EBANO
4,A003,08.2.004,AGENCIA,"AGENCIA 17 CALLE (A003)",LOCAL,"17 calle 6-59 zona 1",0:10:00,"Base Bolivar",N/A,"Sin cobertura",,EBANO
5,A004,08.2.005,AGENCIA,"AGENCIA MARISCAL RECEPTORES (A004)",LOCAL,"Calz. Aguilar Batres y 13 calle z.11",0:10:00,"Base Aguilar Batres",SI,"Sin cobertura",,EBANO
6,A006,08.2.007,AGENCIA,"AGENCIA OBELISCO (A006)",LOCAL,"Boulevard Liberación 7-25 zona 9",0:10:00,"Base zona 13",SI,"Sin cobertura",,EBANO
7,A007,08.2.008,AGENCIA,"AGENCIA ROOSEVELT (A007)",LOCAL,"Calz Roosev 32-94 zona 7",0:10:00,"Base Roosevelt",SI,"Sin cobertura",,EBANO
8,A007A,09.7.008,AGENCIA,"AGENCIA BI PREMIUM ROOSEVELT (A007A)",LOCAL,"Calz Roosev 32-94 zona 7",0:10:00,"Base Roosevelt",N/A,"Sin cobertura",,EBANO
9,A008,08.2.009,AGENCIA,"AGENCIA ESCUINTLA (A008)",DEPARTAMENTAL,"4a av. 6-14 zona 1",0:10:00,"Agencia Ebano Escuintla",N/A,"Sin cobertura",,EBANO
10,A010,08.2.010,AGENCIA,"AGENCIA QUETZALTENANGO I (A010)",DEPARTAMENTAL,"11 Av. Y 5 calle zona 1 Quetz.",0:15:00,"Agencia Ebano Quetzaltenango",N/A,"Sin cobertura",,EBANO
11,A011,08.2.011,AGENCIA,"AGENCIA AMATITLAN (A011)",LOCAL,"3a av. 6-88 zona 1 frente al parque",0:10:00,"Base Amatitlan",N/A,"Sin cobertura",,EBANO
12,A012,08.2.012,AGENCIA,"AGENCIA SUCURSAL 7A AV. (A012)",LOCAL,"7av 11-15 z.1",0:10:00,"Base zona 1",N/A,"Sin cobertura",,EBANO
13,A013,08.2.013,AGENCIA,"AGENCIA AGUILAR BATRES (A013)",LOCAL,"Calz. Aguilar Batres 33-80 zona 11",0:10:00,"Base Aguilar Batres","Pre autorizado","Sin cobertura",,EBANO
14,A014,08.2.014,AGENCIA,"AGENCIA AUTO SEXTA (A014)",LOCAL,"6a av. 10-34 zona 9",0:10:00,"Base zona 13",SI,"Sin cobertura",,EBANO
15,A015,08.2.015,AGENCIA,"AGENCIA MORALES (A015)",DEPARTAMENTAL,"Av.Simon Bolívar 5-82 zona 1",0:10:00,"Agencia Ebano Morales",SI,"Sin cobertura",,EBANO
16,A016,08.2.016,AGENCIA,"AGENCIA ANTIGUA (A016)",DEPARTAMENTAL,"5a av. Sur No. 4",0:10:00,"Agencia Ebano Antigua",N/A,"Sin cobertura",,EBANO
